[00:00 - 00:03] はいではゲスト号司によるこの後特別講義に入ります
[31:54 - 31:57] 5人来店するページかっていうところで
[31:57 - 31:59] この100人に対して
[31:59 - 32:03] この4人の差ぐらいは正直構築をちゃんとしたら
[32:03 - 32:05] 卵状でも本当に置いとけだけで
[32:05 - 32:08] 全然この数字の差分は出るので
[32:08 - 32:11] そうなると店舗だったら
[32:11 - 32:15] 1組単価が1万円ぐらいいざかやとかだったら
[32:17 - 32:20] それで例えば400人がプロフィールに訪れたなら
[32:20 - 32:22] 4万円ぐらい訪してて
[32:22 - 32:25] 192万円ぐらい訪れるし
[32:25 - 32:28] なんなら無形だったらもっとだと思ってて
[32:28 - 32:30] なんか50万円なら
[32:30 - 32:33] それが4人いたら200万円なわけで
[32:33 - 32:36] そうなると1年間で2400万円ぐらい
[32:36 - 32:38] その質があるので
[32:38 - 32:41] 本当にただとりあえず一発構築しておけだけ
[32:41 - 32:44] っていうのをすることで卵状態ができる
[32:44 - 32:47] この損失しすぎますよっていうところになるので
[32:47 - 32:49] やってほしいなというふうに思います
[32:51 - 32:53] ということでなんか
[32:53 - 32:55] 2つぐらい僕の方で
[32:55 - 32:59] 点作みたいなのをしたいなというふうに思っているんですけど
[33:01 - 33:04] なんかアカウントを見てほしいみたいなのあったり
[33:04 - 33:06] ありがとうございます
[33:08 - 33:11] ちょっといないと僕が困るので本当に嬉しいです
[33:18 - 33:21] アカウントの名前とかユーザーネームとか
[33:23 - 33:25] アルファベットでハルミン
[33:26 - 33:28] ハムラバー
[33:29 - 33:31] アルファベットでホットンヘア
[33:31 - 33:34] C-O-P-T-O-Mヘア
[33:34 - 33:36] これですね
[33:39 - 33:41] ありがとうございますめちゃくちゃフォロワー多い
[33:41 - 33:43] すごいですね
[33:48 - 33:50] すごい世界感がめっちゃいいですね
[33:53 - 33:55] めっちゃいい
[33:55 - 33:57] ちなみに一言で初めて
[33:57 - 33:59] うちのお店を知ってくれた人たち
[33:59 - 34:02] このお店をパッてみた人がいるじゃないですか
[34:03 - 34:05] 一言で何知ってほしいですか
[34:06 - 34:08] 押し勝つ
[34:08 - 34:10] 押し勝つ
[34:10 - 34:12] 普通のお部屋ね
[34:12 - 34:14] オタクの女の子たちがすごい良く来てますよ
[34:14 - 34:16] ということ
[34:16 - 34:18] めっちゃいいですね
[34:18 - 34:20] そうしたらそれを
[34:20 - 34:23] メインに添えれば
[34:23 - 34:25] いいと思っていて
[34:25 - 34:28] なので雰囲気は全て伝わっていると思うので
[34:29 - 34:32] 来店のきっかけでいくと
[34:37 - 34:39] これはバズっている動画を固定にしている
[34:39 - 34:41] って感じですよね
[34:41 - 34:43] そうですね、多かったやつも
[34:46 - 34:49] フォローしてくれるのが多い
[34:49 - 34:51] やつを言ってますね
[34:51 - 34:53] なるほど
[34:58 - 35:00] 僕だったらここに
[35:02 - 35:04] これ3つ全部
[35:04 - 35:06] こういう感じができますよ
[35:06 - 35:08] っていう、何だろうな
[35:08 - 35:10] パターン出しを3本やってると思ってて
[35:10 - 35:12] こういうのやってほしいな
[35:12 - 35:14] こういうのやってほしいなっていうのを
[35:14 - 35:16] つけるために
[35:16 - 35:18] たぶんこの過去の
[35:18 - 35:20] 投稿を見るじゃないですかみんな
[35:20 - 35:22] なのでこの辺のやつと
[35:22 - 35:24] 固定のやつの動画の
[35:24 - 35:26] 要素が被っちゃってるかな
[35:26 - 35:28] っていうふうに思ってて
[35:28 - 35:30] なので分解して
[35:30 - 35:32] えっとー
[35:32 - 35:34] なんだろうな
[35:34 - 35:36] 気になる部分を全部置いておきたい
[35:36 - 35:38] みたいな感じで僕は思うので
[35:38 - 35:40] 例えば、なんか
[35:40 - 35:42] 来店したらこういうふうな
[35:42 - 35:44] 順番で
[35:44 - 35:46] 手術してこういうふうな順番で
[35:46 - 35:48] この髪型が出来上がりますよ
[35:48 - 35:50] っていう一連の流れとかがあったら
[35:50 - 35:52] なんだろう
[35:52 - 35:54] ここに行ったらこういうふうにやってくれるんだ
[35:54 - 35:56] っていう来店前の不安を
[35:56 - 35:58] 解消するっていう方向
[35:58 - 36:00] つまりプラスの要素
[36:00 - 36:02] こういうふうになりたいっていう要素は
[36:02 - 36:04] めっちゃ入ってるので
[36:04 - 36:06] じゃあマイナスの要素を消すための
[36:06 - 36:08] 動画1本固定に置いておいたら
[36:08 - 36:10] めちゃくちゃ
[36:10 - 36:12] なんかやっぱり
[36:12 - 36:14] それに近い
[36:14 - 36:16] 6個社の
[36:16 - 36:18] 勉強
[36:18 - 36:20] 頑張って
[36:20 - 36:22] これか
[36:22 - 36:24] これが
[36:24 - 36:26] 先輩先生にお客様の声言ってたらいいっていうのを
[36:26 - 36:28] 聞いて
[36:28 - 36:30] お母さんのDMを
[36:30 - 36:32] と
[36:32 - 36:34] 生日前にいただいたDMと
[36:34 - 36:36] 終わった後のDMとかも言ってたのか
[36:36 - 36:38] なるほど
[36:40 - 36:45] すごいなぁ
[36:45 - 36:50] めっちゃいいですね
[36:50 - 36:55] なんで多分切り口はめっちゃいい感じなので
[36:55 - 37:00] 何だろうなイメージバズらないような動画が
[37:00 - 37:04] 見えないような感じで
[37:04 - 37:09] イメージバズらないような動画を作るべきというか
[37:09 - 37:14] さっき林さんが言ってたように
[37:14 - 37:19] 店舗だと道順を示すと来店されるバズル
[37:19 - 37:23] なぜか取れるみたいな話があったと思うんですけど
[37:23 - 37:28] あれって要素分解してなんで取れるんだろうってなったときに
[37:28 - 37:33] いくまでの道順がわからないみたいな不安とか
[37:33 - 37:37] なんかないとか
[37:37 - 37:41] 例えば寄屍感っていうふうにさっき話したと思うんですけど
[37:41 - 37:45] ここ見たことあるとかっていう感じになると思うので
[37:45 - 37:50] 何だろうな
[37:50 - 37:53] なので固定に置いとくやつだと
[37:53 - 37:57] 何だろうなすごい
[37:57 - 38:02] こんな感じの価格も出ているから
[38:02 - 38:06] これ
[38:06 - 38:09] 何て言うんだろうなもっと機能性というか
[38:09 - 38:12] 施術の順番というか
[38:12 - 38:15] 何だろうなこういうのを持ってきてくれたら
[38:15 - 38:20] こういうふうにできるようとか
[38:20 - 38:23] とにかく伸びなくていいんですよ
[38:23 - 38:25] もう何か説明書
[38:25 - 38:30] お店の説明書みたいなのが欲しいっていう感じ
[38:32 - 38:36] あとは
[38:36 - 38:40] 例えば
[38:40 - 38:44] でもなりたい姿はここで取れているから全然いいから
[38:44 - 38:47] あとは何か立った一つ見てほしい
[38:47 - 38:50] あとは
[38:50 - 38:52] 何か立った一つ見てほしい
[38:52 - 38:55] 何か立った一つ見てほしい
[38:55 - 38:58] 何か立った一つ見てほしい
[38:59 - 39:02] あとは何か立った一つ見てほしい
[39:02 - 39:04] みたいなところは特になく
[39:04 - 39:07] このページを全部見て
[39:07 - 39:09] これやりたいなって思ってきてくれればいい
[39:09 - 39:12] って感じですか
[39:12 - 39:16] あと全国の
[39:16 - 39:18] 開け幅ではエリアだけじゃなくて
[39:18 - 39:21] 全国の方が来てくれるので
[39:21 - 39:24] 地方で部屋面をやったことのない
[39:24 - 39:27] どこで約したりか分かんないとか
[39:27 - 39:30] 不安の県とかも
[39:30 - 39:32] 不安がいっぱいあると思うので
[39:32 - 39:35] 小学生、中学生、高校生でも
[39:35 - 39:37] 東京でここで部屋面をかわいくできますよ
[39:37 - 39:40] っていうのをアピールしたいかなって思うんですけど
[39:40 - 39:43] きりとは文章とか入れていないんですけど
[39:43 - 39:45] めっちゃいいと思います
[39:45 - 39:48] そういうのを重いとか
[39:48 - 39:52] 機能性とかを一本作っておくっていうのはすごいよくて
[39:52 - 39:55] 僕らがよくやるのは
[39:57 - 40:01] すぐで
[40:01 - 40:05] ちなみに
[40:05 - 40:07] 自五紹介を動画にするっていうのを
[40:07 - 40:11] めちゃくちゃやるんですよ
[40:15 - 40:18] 今までこういうことを
[40:18 - 40:20] 地元を好きっていうきっかけから
[40:20 - 40:22] こういう風に頑張って発信したら
[40:22 - 40:24] 十万人になりましたみたいな感じなんですけど
[40:24 - 40:26] 過去にこんなにいろんな人なのか
[40:26 - 40:28] こんなにいろんな人々やってきて
[40:28 - 40:32] 全国の可愛くなりたいっていう
[40:32 - 40:36] 本当に東京だけじゃなくて全国の人が来てますみたいな感じで
[40:36 - 40:39] 全国から来てますよっていうところを入れるとか
[40:39 - 40:46] あとは小学生中学生高校生でもなりたい姿になれてますとか
[40:46 - 40:55] っていうなんかこういう
[40:55 - 40:59] 今ではこんなこともできるようになりましたみたいな感じで
[40:59 - 41:07] こういう子こういう子をすごいなりたい自分になれるようにできました
[41:07 - 41:10] そんな私たちがやってるのはこんな場所です
[41:10 - 41:13] そこはこういうことをしていてみたいなのを細かく
[41:13 - 41:16] 作業手順とかも教えてあげて
[41:16 - 41:19] こういう場所だから安心してきてねみたいな
[41:19 - 41:23] 気になるところを全部潰した説明動画みたいなのを
[41:23 - 41:29] 一本作っておいたら多分めっちゃ来店率上がるんだろうなっていう
[41:39 - 41:42] 長野のってやつです
[41:45 - 41:47] どうでしょうか回答になってますか大丈夫そうですか
[41:47 - 41:49] はいありがとうございます
[41:50 - 41:53] でも大前点めっちゃいいので
[41:53 - 41:56] すいませんなんか争がしが頑張りました
[41:59 - 42:02] じゃあちょっとラスト1人もしよければ
[42:02 - 42:03] あ、ぜひ
[42:03 - 42:07] すごい寝層しましてその相談もしついて
[42:07 - 42:08] あ、もうぜひです
[42:08 - 42:12] 私今思ったんですけど店舗やってるんですけど
[42:12 - 42:17] 個人の名前でやってるのからそもそもあっているのかなって
[42:17 - 42:19] まあ全然全然
[42:19 - 42:20] いいですか
[42:20 - 42:21] アカウント名を
[42:21 - 42:27] mymaiunderbar続き
[42:27 - 42:29] ドット33
[42:29 - 42:31] バスタップセタイス前に
[42:31 - 42:33] ありがとうございます
[42:33 - 42:36] で、これ今ゴール何なんだもんなって言うのがあって
[42:36 - 42:38] 今とりあえず
[42:38 - 42:42] YouTubeに流してYouTubeって
[42:42 - 42:45] 一回協議したいなという感じで
[42:45 - 42:47] 集結で使ってたんですけど
[42:47 - 42:49] エンテビー悪すぎて
[42:49 - 42:51] ちょっとあんまりインスタからいらないわみたいな思った時期があって
[42:51 - 42:52] なるほどなるほど
[42:52 - 42:54] ということで多分今YouTubeに流したんだと思います
[42:54 - 42:55] なるほど
[42:56 - 42:59] で、今メタ公告は頑張ろうとして
[42:59 - 43:01] やってるしみたいな
[43:01 - 43:03] で、なんか元々私一人でやろうと思ってて
[43:03 - 43:06] 今店舗になってスタッフもいるんですけど
[43:06 - 43:09] これこうやっても私も覚えていいのかなって今ちょっと思ったんですよ
[43:09 - 43:10] なるほど
[43:11 - 43:14] 多分このタイプというかバスタップ系なら
[43:14 - 43:16] 絶対顔の方がよくて
[43:16 - 43:18] あ、そうなんですよ
[43:18 - 43:21] なんか、あの自公正アンケート見させてもらったんですけど
[43:21 - 43:24] あの、なんか怪しいバスタップが多いみたいな書いてありましたよね
[43:24 - 43:25] おそらく
[43:25 - 43:26] 違うです
[43:26 - 43:28] っていうことは顔出した方が
[43:28 - 43:30] まず怪しさが一個軽減されるので
[43:30 - 43:32] 絶対こっちの方がいい
[43:32 - 43:34] そうなんですよ
[43:34 - 43:36] で、えっと
[43:37 - 43:40] すごいなんか話がいがあって面白い
[43:40 - 43:41] よかった
[43:42 - 43:44] そう、なんか
[43:44 - 43:47] さっきのまずはこれを見てみたいな感じで
[43:47 - 43:50] まずこれをパッと見た時に
[43:51 - 43:54] さっきのテルテルと比較した時に
[43:55 - 43:57] なんかどこ見たらいいかが
[43:57 - 43:59] どこ見たらいいか
[43:59 - 44:00] わかりません
[44:00 - 44:02] っていうことなので
[44:02 - 44:03] わかりません
[44:03 - 44:04] なので
[44:04 - 44:05] 曲論
[44:06 - 44:09] この中のどれか一番見てほしいやつ
[44:09 - 44:11] つまりYouTubeに飛ばしたいんだったら
[44:11 - 44:14] YouTubeの1本これ見てくださいみたいな
[44:14 - 44:18] やつをハイライトにストーリーで1、2、3くらいで訴求して
[44:18 - 44:21] それを、なんか例えばマッカーとか別に
[44:21 - 44:23] まっかーとか別に
[44:23 - 44:25] 赤じゃなくても全然いいんですけど
[44:25 - 44:28] 赤にして他のハイライトは
[44:28 - 44:30] 全部真っ白にするみたいな
[44:30 - 44:31] 例えばですけど
[44:31 - 44:33] その色の話ですよ
[44:33 - 44:34] っていうふうにすると
[44:34 - 44:36] そこを見てねっていうのが
[44:36 - 44:38] 見てねって言わなくても伝わると思うんですよ
[44:38 - 44:39] 確かに
[44:39 - 44:40] っていうのと
[44:40 - 44:41] あと多分
[44:41 - 44:43] そのさっき話してたように
[44:43 - 44:46] なんか怪しいやつが多いみたいなのがあると思うので
[44:46 - 44:48] それを多分こっちで
[44:48 - 44:49] それを見て
[44:49 - 44:50] これを見て
[44:50 - 44:53] それを多分こっちで
[44:53 - 44:55] 話されてるってことですよね
[44:55 - 44:56] そうです
[44:56 - 44:58] で、これが一番見てほしいやつ
[44:58 - 44:59] いやー
[44:59 - 45:00] 何でここに置き合うのかちょっと
[45:00 - 45:01] わかってないんですけど
[45:01 - 45:03] 一番言います
[45:03 - 45:05] 食べちゃいます
[45:07 - 45:10] その一番見てほしいやつが
[45:10 - 45:12] もしあれば
[45:14 - 45:17] なければその1本見れば
[45:17 - 45:20] 正しいバスタープがわかるみたいなやつが
[45:20 - 45:22] 例えばあれば
[45:22 - 45:24] すごいいいなって思ってて
[45:25 - 45:26] で、僕らのこの
[45:26 - 45:28] 本当にこのアカウント50万しか
[45:28 - 45:29] こう書けてなくて
[45:29 - 45:31] 売り上げが後ろのバッケンドが
[45:31 - 45:32] 1,100万売れてるんですけど
[45:32 - 45:33] どうやったかっていうと
[45:33 - 45:36] ここの働き方っていうこの
[45:36 - 45:38] YouTubeをこの1本だけ見てね
[45:38 - 45:40] っていうとにかく
[45:42 - 45:44] よくいただく質問があるので
[45:44 - 45:46] 回答した動画を作りましたと
[45:48 - 45:50] で、これが今回
[45:50 - 45:52] ハイスさんと作ってる
[45:52 - 45:54] 動画LPとかでもいいと思うんですよ
[45:54 - 45:56] みたいな感じで
[45:56 - 45:58] そこにとにかく飛ばすみたいな
[45:58 - 46:00] 皆さんは同然作ればいいと思ってて
[46:03 - 46:05] で、乾燥とか入れて
[46:05 - 46:07] 見てねーみたいな感じで
[46:08 - 46:09] 置いておいて
[46:09 - 46:11] 本当に僕は究極ここだけ
[46:11 - 46:13] 見てくればいいと思ってて
[46:13 - 46:15] それ以外はなんか雰囲気伝わればいいな
[46:15 - 46:16] これぐらいのテンション
[46:18 - 46:20] なのでそれと一緒で
[46:20 - 46:22] 意外とここって見られないので
[46:22 - 46:24] 見られないじゃないですか
[46:26 - 46:28] なのでハイライトの1個に
[46:28 - 46:30] 置いて
[46:32 - 46:34] で固定の動画も
[46:34 - 46:35] ないです
[46:35 - 46:36] 固定というか見えないのか
[46:36 - 46:37] 全然
[46:38 - 46:40] だから本当に6等
[46:40 - 46:41] もう1個でもいいんですよ
[46:41 - 46:42] もう早
[46:42 - 46:43] 1個だけでもいいので
[46:43 - 46:44] とにかく
[46:44 - 46:46] 正しいバスタップをこれだから
[46:46 - 46:48] こういう動画を見てほしいみたいな
[46:48 - 46:49] のがあれば
[46:50 - 46:52] タナボタでこっち経由で入ってくれる
[46:52 - 46:54] 人もいるかもしれないじゃないですか
[46:54 - 46:56] みたいな感じで
[46:56 - 46:58] 一旦整えておくっていうことをすると
[46:58 - 47:00] 多分今後の広告を回したときの
[47:01 - 47:03] 効果がちょっとずつ上がってく
[47:03 - 47:05] みたいな感じになるんじゃないかな
[47:05 - 47:07] どっちかというと動画も
[47:07 - 47:10] テンポに対しての動画って言うのも
[47:10 - 47:12] どっちかというと正しいバスタップとは
[47:12 - 47:13] みたいな
[47:13 - 47:15] そっちの動画の方がいいってことですか
[47:15 - 47:16] そうですね
[47:16 - 47:18] でさっきもあったとおり
[47:18 - 47:19] こんな感じでなんか
[47:19 - 47:21] 営業時間とか
[47:21 - 47:23] 口込みとかアクセスとか
[47:23 - 47:24] 内装とか
[47:24 - 47:26] っていうのももちろん
[47:26 - 47:27] のせておいた方が
[47:27 - 47:28] なんだろう
[47:28 - 47:30] 被言語で
[47:30 - 47:31] 伝わって
[47:31 - 47:32] ここいいかもってなる
[47:32 - 47:34] 一つの要素ではあるので
[47:34 - 47:36] 一応入れておきはすると
[47:36 - 47:37] いいかなという感じ
[47:37 - 47:39] つまりここホームページと一緒なので
[47:39 - 47:41] 入れてる情報ホームページじゃないですか
[47:41 - 47:44] なのでそれを一旦作って
[47:45 - 47:47] 作れればもうあとは
[47:47 - 47:49] 口込みやるだけみたいな
[47:50 - 47:52] 感じがいいんじゃないかなと
[47:52 - 47:53] わかりました
[47:53 - 47:55] ありがとうございます
[47:57 - 47:59] てな感じで
[47:59 - 48:00] 一応二人
[48:00 - 48:01] 検索させていただきました
[48:01 - 48:03] ということでありがとうございます
[48:03 - 48:05] ありがとうございます
[48:06 - 48:08] じゃあ一旦ここで
[48:08 - 48:10] 休憩を挟みたいなと思っていて
[48:11 - 48:13] 次のところで
[48:13 - 48:15] 今ちょっと話しきれなかった
[48:15 - 48:16] どんな動画が
[48:16 - 48:18] 割とオーガニックで当たるのか
[48:18 - 48:20] みたいなちょっと視差というか
[48:20 - 48:21] 気
[48:21 - 48:23] なんだろうな
[48:23 - 48:26] 認知広告で当たりそうなやつの
[48:26 - 48:28] パターンをちょっとバーって
[48:28 - 48:29] 洗って
[48:30 - 48:31] 解説というか
[48:31 - 48:32] ちょっとだけ動画の解説
[48:32 - 48:33] みたいなところを
[48:33 - 48:34] させていただいた後に
[48:34 - 48:36] ストーリーの使い方
[48:36 - 48:37] どういうふうに
[48:37 - 48:38] 賞コストで
[48:40 - 48:41] ある程度
[48:41 - 48:43] ラインのような感じで
[48:43 - 48:44] いけるかというのを
[48:44 - 48:45] やり方として
[48:45 - 48:46] お伝えしたいなというふうに
[48:46 - 48:47] 思ってます
[48:47 - 48:48] なので一旦
[48:48 - 48:50] 5分くらい
[48:50 - 48:52] 休憩挟んでいければなと思いますので
[48:52 - 48:53] 15分くらいから
[48:53 - 48:55] 始められればなと思います
[48:55 - 48:56] よろしくお願いします
[48:56 - 48:58] はいじゃあちょっと再開していこうかなという
[48:58 - 48:59] ふうに思います
[48:59 - 49:00] 今ちょっと
[49:00 - 49:01] 休憩時間中に雑談で
[49:01 - 49:03] 話してたことを
[49:03 - 49:04] なんかもしかしたら
[49:04 - 49:05] 参考になりそうだなと思って
[49:05 - 49:06] ちょっと
[49:06 - 49:08] 雑談ベース的要因になりますと
[49:08 - 49:09] このアカウント
[49:09 - 49:12] 参用が半年で6人とれてる
[49:12 - 49:13] アカウントになってて
[49:13 - 49:14] どうやって取ったかというと
[49:14 - 49:16] DMの
[49:16 - 49:19] ダイレクトオファーというところで
[49:19 - 49:20] フォローしてくれた人
[49:20 - 49:21] または
[49:23 - 49:26] いいねしてくれた人に対して
[49:27 - 49:28] どうですか
[49:28 - 49:29] みたいな感じの
[49:29 - 49:30] テンプレートを送って
[49:30 - 49:31] それを
[49:32 - 49:33] 反応してくれた
[49:33 - 49:35] 10人に1人ぐらいと
[49:35 - 49:36] 会話して
[49:36 - 49:38] じゃあ1回話聞いてみませんか
[49:38 - 49:39] どうですか
[49:39 - 49:40] みたいな感じでオファーする
[49:40 - 49:41] みたいな感じで
[49:41 - 49:43] 会話型みたいな感じで
[49:43 - 49:45] 採用してるアカウントになるんですけど
[49:46 - 49:47] まあなんかそういう話を
[49:47 - 49:48] 今してましたよ
[49:48 - 49:49] というところの
[49:49 - 49:51] 共有になりますと
[49:53 - 49:54] じゃあここから
[49:54 - 49:55] 話したいことを
[49:55 - 49:56] 2つテーマとしてありますよ
[49:56 - 49:57] というところで
[49:57 - 49:58] どんな動画が伸びるのか
[49:58 - 49:59] みたいなところと
[50:02 - 50:03] ストーリーか
[50:03 - 50:04] フォロワーが
[50:04 - 50:06] 卵をたで増えていった先に
[50:06 - 50:07] どんなことをすれば
[50:07 - 50:09] 最小コストで
[50:09 - 50:11] 最大の成果が出せるのか
[50:11 - 50:12] というところを
[50:12 - 50:13] ちょっと見ていきたいな
[50:13 - 50:14] というふうに思ってます
[50:17 - 50:18] 動画に関しては
[50:18 - 50:19] 正直そんなに
[50:19 - 50:21] 話す気がなかったので
[50:21 - 50:23] あんまり話さないんですけど
[50:25 - 50:26] さっきはやしさんが
[50:26 - 50:27] オーガニックに
[50:27 - 50:29] 出てくるものを
[50:29 - 50:30] 参考にしたら
[50:30 - 50:31] 認知広告が当たるよ
[50:31 - 50:32] って話してたので
[50:32 - 50:34] 僕がもうそれの
[50:34 - 50:35] 多分全国で
[50:35 - 50:36] 相当それをやっている
[50:36 - 50:37] 人間だと思うので
[50:37 - 50:38] それをなんか
[50:40 - 50:41] 1個買いま見えるような
[50:41 - 50:42] ものが
[50:42 - 50:43] あればなと思って
[50:43 - 50:44] お話しますと
[50:44 - 50:46] 僕らが普段オーガニックで
[50:46 - 50:47] これを伸ばしているアカウントが
[50:47 - 50:49] こんな感じのアカウントになってて
[50:49 - 50:51] 青森で6.72人
[50:51 - 50:53] 今青森でトップなんですけど
[50:53 - 50:54] これを
[50:54 - 50:55] 10ヶ月で
[50:55 - 50:56] このフォロワースにした
[50:56 - 50:57] っていう
[50:57 - 50:58] なんでアカウント開始して
[50:58 - 51:00] まだ10ヶ月くらいなんですけど
[51:01 - 51:02] 10ヶ月にして
[51:02 - 51:03] トップいちゃったみたいな
[51:03 - 51:05] アカウントを作ったんですけど
[51:06 - 51:07] これがもうなんか
[51:07 - 51:08] 常にバズってるんですね
[51:11 - 51:12] で一旦ちょっと
[51:12 - 51:14] 見ていただければなと思うんですけど
[51:15 - 51:16] これじゃないな
[51:17 - 51:19] 同じフォーマットがいいなぁ
[51:20 - 51:22] 次見せる動画と
[51:22 - 51:23] 同じフォーマットのやつを
[51:23 - 51:24] 探すので
[51:24 - 51:25] 少々お待ちください
[51:25 - 51:26] これだ
[51:30 - 51:31] なんかよくある
[51:31 - 51:33] 地域系の動画って感じ
[51:33 - 51:34] なと思うんですけど
[51:34 - 51:36] まあインフレンサーが作ってるので
[51:36 - 51:38] それなりにレベルは高いかなとは
[51:38 - 51:39] 思ってます
[52:01 - 52:02] これがまあ多分
[52:02 - 52:03] このいいネスなんで
[52:03 - 52:04] まあ40万歳制かな
[52:04 - 52:05] ぐらいかな
[52:05 - 52:06] っていうのが
[52:06 - 52:07] 多分出てると思うんですけど
[52:09 - 52:10] 皆さん結構
[52:10 - 52:12] 店舗の方きょういらっしゃると思うので
[52:12 - 52:13] 店舗の方に
[52:13 - 52:14] メインに向けた
[52:14 - 52:16] どう話でもあり
[52:17 - 52:18] このフォーマットで
[52:18 - 52:19] 向けもこのフォーマットで
[52:19 - 52:20] 正直
[52:20 - 52:22] 集客できるので
[52:22 - 52:23] どっちにも当てはまる
[52:23 - 52:25] 話になります
[52:25 - 52:26] つまりこの動画が
[52:26 - 52:27] 大ヶ月で
[52:27 - 52:28] 大ヶ月で
[52:28 - 52:29] 伸びてるってことは
[52:29 - 52:30] この動画のフォーマットを
[52:30 - 52:31] 迫れば
[52:31 - 52:32] 広告でも
[52:32 - 52:33] 相当当たるはず
[52:33 - 52:34] ってか当たるんですね
[52:34 - 52:35] 僕らそれを
[52:35 - 52:36] やってるので
[52:38 - 52:39] じゃあ今の動画を
[52:39 - 52:40] 見た後に
[52:40 - 52:41] この
[52:42 - 52:44] 見方温泉っていうところで
[52:44 - 52:45] 大ヶ月で
[52:47 - 52:48] 温泉のアカウントなのに
[52:48 - 52:49] 9000イーネを
[52:49 - 52:50] 叩き出したっていう
[52:50 - 52:51] 動画がありまして
[52:51 - 52:52] これ広告
[52:52 - 52:53] 1歳使ってないんですけど
[52:54 - 52:55] 広告0で
[52:55 - 52:56] 0で
[52:56 - 52:57] 3000人まで
[52:57 - 52:59] フォロワー伸ばしてるんですけど
[53:03 - 53:04] さっきとほぼ
[53:04 - 53:05] 一緒じゃないですか
[53:05 - 53:06] っていう感じで
[53:06 - 53:07] 見進めていくと
[53:22 - 53:23] 本当にもう
[53:23 - 53:24] ただのインフォーマットで
[53:24 - 53:25] もうこれで終わりっていう
[53:25 - 53:26] この空旅ですっていう
[53:26 - 53:27] 自己紹介だけを
[53:27 - 53:28] 省いた
[53:28 - 53:29] それ以外は
[53:29 - 53:30] 全て一緒の動画
[53:30 - 53:31] っていうのを作って
[53:31 - 53:32] これが
[53:32 - 53:33] 広告回してないんですけど
[53:33 - 53:34] 多分回せば
[53:34 - 53:35] プロフ選位3円とかで
[53:35 - 53:36] 多分取れる
[53:36 - 53:38] ぐらいのクオリティーだと思うので
[53:39 - 53:40] これ回したら
[53:40 - 53:42] 多分プロフィール選位の
[53:42 - 53:43] 設定にしたら
[53:43 - 53:45] 3円から5円ぐらいで
[53:45 - 53:46] プロフ選位して
[53:46 - 53:47] プロフ選位で
[53:47 - 53:48] 3円から5円ぐらいで
[53:48 - 53:49] プロフ選位で
[53:49 - 53:50] プロフ選位で
[53:50 - 53:51] プロフ選位で
[53:51 - 53:52] プロフ選位で
[53:52 - 53:53] プロフ選位して
[53:53 - 53:55] 多分30円か40円ぐらいで
[53:55 - 53:56] フォローされる
[53:56 - 53:57] はず
[53:57 - 53:58] そのぐらいのクオリティーだ
[53:58 - 53:59] と思うんですけど
[54:03 - 54:04] 30円から40円で
[54:04 - 54:05] フォローされるって
[54:05 - 54:06] 普通じゃないじゃないですか
[54:06 - 54:07] 多分
[54:07 - 54:08] 皆さんがやってるやつと
[54:08 - 54:10] 桁が一つ違うと思うんですけど
[54:11 - 54:12] なので
[54:13 - 54:14] 僕がめちゃくちゃ
[54:14 - 54:15] お勧めしたいのは
[54:15 - 54:16] 僕80人インフルエンサー
[54:16 - 54:17] 束ねてるので
[54:17 - 54:18] めちゃくちゃ分かるんですけど
[54:18 - 54:19] インフルエンサーって
[54:19 - 54:21] 広告使えないんですよ
[54:22 - 54:23] なんですけど
[54:23 - 54:24] なので
[54:24 - 54:26] PR動画を作るみたいなところで
[54:26 - 54:28] 5万円とかで
[54:28 - 54:29] 住宅したりとかするんですね
[54:29 - 54:31] けどそれを
[54:31 - 54:33] 自己紹介に抜いて
[54:33 - 54:34] 広告動画に使ったら
[54:34 - 54:35] 鬼当たるので
[54:35 - 54:36] それを作る
[54:36 - 54:38] こういうクオリティーを
[54:38 - 54:39] 作れる人に渡して
[54:39 - 54:41] それ作ってもらって
[54:41 - 54:42] 広告素材として
[54:42 - 54:43] こっちでももらっちゃったら
[54:43 - 54:45] 結構当たるので
[54:45 - 54:47] そういうやり方も
[54:47 - 54:48] もしかしたら
[54:48 - 54:49] ありかもしれない
[54:49 - 54:50] これが
[54:50 - 54:51] もちろんすぐ作れるもの
[54:51 - 54:52] 選択肢として
[54:52 - 54:53] 今日
[54:53 - 54:56] すごい経営者の方というか
[54:56 - 54:57] 束ねてる側の方が
[54:57 - 54:58] 多いって話を聞いたので
[54:58 - 55:00] 自分でやるっていう選択
[55:00 - 55:01] だけじゃなくて
[55:01 - 55:02] こういうふうに
[55:02 - 55:04] 当たるものを作れるやつを
[55:04 - 55:05] 安く引っ張ってきて
[55:05 - 55:07] というやり方も
[55:07 - 55:09] 結構インフルエンサーの
[55:09 - 55:10] 会社をやってる身として
[55:10 - 55:11] めちゃくちゃありですよ
[55:11 - 55:12] というところは一つ
[55:12 - 55:14] お話できればなと思って
[55:14 - 55:16] Tipsみたいな感じでしたと
[55:16 - 55:18] この流れで
[55:18 - 55:19] 本当に
[55:19 - 55:21] 軽くオーガニックで伸びる
[55:21 - 55:22] 動画って
[55:22 - 55:23] どんなものなの?
[55:23 - 55:24] っていう話を
[55:24 - 55:25] 一つだけ
[55:25 - 55:26] たった一つだけ
